"gene_symbol","Interneurons_pr","Oligodendrocytes_pr","Medium.spiny.neurons_pr","Endothelial.cells_pr","Astrocytes_pr","Excitatory.neurons_pr","Microglia_pr","OPCs_pr"
"Mrpl43",951.096003232782,1060.76592376512,749.590562403115,1031.50770805995,887.6779284,763.633931124113,1561.10375633409,575.65878372234
"Mrpl44",1095.55906554027,1142.0719339932,1000.30002078525,749.550532553058,934.029461427691,807.572222463779,1560.3710118546,801.154135224007
"Mrpl45",1935.91633900339,1256.76931410129,1841.22322586123,1683.24987453082,1631.20677035388,1630.43611209321,1072.42465419079,1073.6556771533
"Mrpl46",2785.03563291413,2822.11640518709,3212.7069327156,3848.12299369221,3465.95940879308,2391.60090558104,5619.85431412947,2683.90706229878
"Mrpl47",1135.96833118427,850.167119981312,1091.66793433649,474.663483482968,922.503365995306,1035.67075114178,402.100877918695,949.878994219971
"Mrpl48",1474.72632184503,2081.41693490847,1246.2843232777,1452.75007758289,1426.61849302711,1709.62442294134,1793.580977703,1708.95160542936
"Mrpl49",1252.2801749489,1153.72341708821,1003.66137552552,1030.79410585959,1158.30529003419,1118.9507991739,1248.79044608939,892.120468037596
"Mrpl50",196.467892918804,187.636092035757,140.09721543079,200.062853773658,186.015252768654,170.5589943,233.162204090817,191.517992814821
"Mrpl51",583.516095269478,531.5625577,492.48298792876,697.392850461181,885.084667969439,527.729493637657,593.763062802479,722.617400083284
"Mrpl53",425.865429704545,284.219454972705,348.62480686083,246.245670214571,283.08600331537,366.411345000798,335.718907371683,212.3180598189
"Mrpl54",829.981131682199,682.456169242088,578.78603776052,612.011993520571,565.754005419482,647.811529323433,889.084619138279,874.533839443663
"Mrpl55",340.1985493,334.091189369318,359.585278468663,348.923142684746,382.910848080058,326.436058271628,204.804803373398,365.643508027718
"Mrpl57",255.962709981249,250.660149094152,279.068465974638,266.136042487286,233.418830399905,280.369572485794,379.8817825,265.651943085303
"Mrpl58",1308.93008342923,857.105296574208,835.6381584,934.064343637841,581.448642194428,1151.73872187589,668.487692296772,832.333514718489
"Mrpl9",1406.78319415996,1393.72681142567,1693.92762921829,793.442013046072,1054.59966651228,1417.10300718987,1464.11261960022,1145.64041135352
"Mrps10",104.038533009967,78.5272600231206,91.6047908198699,52.6947516205226,80.83825615,90.8446102251113,119.314624982055,82.3389981218891
"Mrps11",1617.21159628737,921.1776639523,1023.17262980683,1347.24605929792,1054.32985070114,1024.4163410418,1210.77572743815,1244.13872293613
"Mrps12",1003.15466008881,922.6678721,897.449835184668,1116.86014670002,702.579979136896,1179.01183837814,912.742192755728,920.309662964632
"Mrps14",740.8944712,779.540428063263,641.510925321536,824.125073718963,652.755106983116,736.827778596997,763.74347938054,632.966083635475
"Mrps15",1196.12017133393,884.961844985632,1163.46664896544,814.568395980795,845.191226282759,1191.09917464696,1675.25682267849,884.686576572034
"Mrps17",1376.86021837761,1900.23587319455,1594.3557068834,1274.56219439223,1559.91596581282,1562.2912839462,1384.14117829854,1550.40729419248
"Mrps18a",533.0904538,405.13172757607,427.172379730194,369.5205896,388.725545038432,425.3901704,386.186193891294,482.11063244866
"Mrps18b",362.455349949373,335.351308168943,317.259162883749,191.805755576174,367.554009936589,317.013738547057,422.477019141121,373.655217929678
"Mrps18c",545.391841846205,828.028858727094,685.817653490653,402.029757831218,566.281488494399,651.644145838728,1044.87142354203,800.268624207812
"Mrps2",233.447944292106,124.374308122283,118.299828045115,98.2073230509867,145.146734622908,159.363926560332,120.498816376321,180.613456527547
"Mrps21",205.821175283483,185.539213003436,194.121679651818,173.409517881386,198.418027429423,207.09457490677,187.700765966047,159.099718322823
"Mrps22",3939.18256216504,3917.24063152486,3588.1066177063,4146.16487475989,4596.60115939803,3833.35995627272,2703.42728899288,3287.20020306728
"Mrps23",2941.94160222006,2763.52735798162,2040.63556844819,1845.91839886537,2602.39326115692,2465.0269158079,1915.38501768352,3006.57751035942
"Mrps24",216.063740835581,236.714212301046,154.390142821218,215.429012727261,253.611422983362,185.206926729332,240.17337053018,267.324376224195
"Mrps25",72.60341361,92.4968220634047,66.3068197591665,84.1688436575613,75.4842383781129,70.945594646775,71.2507875717101,124.210681058188
