"gene_symbol","Interneurons_ps","Oligodendrocytes_ps","Medium.spiny.neurons_ps","Endothelial.cells_ps","Astrocytes_ps","Excitatory.neurons_ps","Microglia_ps","OPCs_ps"
"Epb41l3",228.596650263517,713.605083611447,188.327978600065,94.1464887668637,43.0030704148306,158.966915556066,53.5875264861815,115.120115195925
"Epb41l4a",55.5570346618222,76.5523989592412,4.63886771424156,23.454046393585,20.7844883525243,9.31297920233619,7.77592485252093,188.216108463844
"Epb41l4b",133.088369702453,260.286243448557,83.2973826090571,30.1257962411552,62.2222201987673,221.932754032673,39.735824616292,123.910651841223
"Epha4",177.989118283157,255.611516882845,612.598964214265,244.319504421258,206.121601537103,582.251145029203,185.964660927301,199.992210276734
"Ephb2",189.968665044169,121.286188768049,47.9704602422248,136.183401813973,24.2490035312195,268.150018301758,27.429543059619,108.487586856666
"Epn1",160.947541631023,122.082155643298,133.173100406325,147.201099706479,125.834202180675,143.864448065599,209.079242765655,147.429787617536
"Epn2",124.270880884733,605.008657193894,222.817495809997,228.017278221514,151.135047523228,210.648809237254,136.813247724224,2707.42436971534
"Epn3",249.24258678803,0.000290163666666667,0.000438759666666667,0.002340051,78.9130062248578,63.3769795524028,0.001398785,0.001644545
"Eps15",127.954340990368,278.158820391304,53.875633010904,144.284477113112,378.399194658191,85.5840538578911,113.755513686896,34.837103872385
"Eps15l1",180.858001563858,94.612670320476,171.760035960079,125.483348759078,139.462221819763,151.310756723172,136.875424978303,164.132460262136
"Eps8",379.203493749351,32.6315360326965,39.9329543900009,253.313651977236,1687.48206202913,48.5737355978586,136.530605635414,1095.01622076625
"Eps8l1",141.087108163152,353.474534722175,41.5966740811462,190.526015005562,266.318399179649,156.765013166595,1055.23047398456,416.956746173246
"Eps8l2",17.0204848261595,660.750119925799,17.1159598415376,522.003101726134,303.326046513194,182.174368991617,194.488386361195,244.608744743542
"Erbb3",3.16353073425562,531.3086543,3.48794342907855,14.7092977910374,21.7125146815638,5.56676255,10.3998579867574,294.496694448535
"Erbb4",1293.11244025909,129.91854515596,111.856269009668,50.5832560258823,56.3607421461861,73.2099120313714,63.9903568040084,283.472425285785
"Erbin",49.1277556059267,403.335139294799,37.1265643731862,83.7164102741809,76.6301032525031,18.0465145674131,136.08854263374,51.9833820774238
"Erc1",309.078530166909,79.0573609347749,251.676715706672,209.827578777463,284.167261642388,280.570316408913,43.1782334949576,163.250343303872
"Erc2",202.824484277956,23.4808856771134,408.225683980748,98.5017019293481,17.3743026858564,360.385700031661,25.0331122575909,80.3015057709205
"Ercc4",40.5870404214869,41.1858657203681,60.8063300393445,50.6121015583113,35.4839274393495,43.8053755067261,42.7964217681219,44.1616025426441
"Ercc5",60.1823763912327,71.6230721734344,75.7681267653673,72.2332455995248,81.4349588425975,61.0239973619743,90.918128028272,92.851469347068
"Ergic2",64.3399074593175,54.0119527753592,56.1877437672562,55.5710975148724,43.5190630815107,61.4592147211556,67.4290837965873,56.7188506248166
"Erich5",305.148160589925,0.000127036,49.8183613431079,0.001024494,0.000410139,60.1203248569577,0.0006124,0.000719996
"Ermn",11.3470281445392,2036.53735110716,12.4597481989367,68.076734741,56.7604814049919,25.2984020479515,27.3836181525119,52.6095533679094
"Errfi1",35.8580845370669,146.189850198728,26.7159872040087,365.252239143617,43.9522276664976,33.4901455300266,38.5573600560073,74.3467569178121
"Esam",20.6171439966835,17.4058259134031,43.1599439100315,1927.91097141996,28.4509747233757,29.1731350279619,18.5743141444231,16.8596548233003
"Esyt1",53.3154418419598,65.2611412463763,29.9287655694656,1302.66486907661,152.93728358903,107.222783164222,286.143080309877,241.225192371367
"Esyt2",171.716705086296,133.081936321198,239.023926313171,328.655056669349,104.875912275274,232.217757687866,111.167680189131,160.947940407787
"Etl4",389.852538899582,14.4820203442874,84.4594296152438,112.941973133273,11.2387379365675,242.010620263713,20.9318826257253,13.1818356636644
"Etv1",44.5068118529416,98.0281411246695,22.4614698367601,50.5220830047992,71.3108711987127,63.6320042685904,84.8442895661397,172.67822248745
"Etv6",278.407490546726,98.8496593449354,142.879173643009,373.356307650417,383.866537868816,187.253759699197,1254.94926331686,470.429252345044
"Evi2a",8.22448291641724,337.183305228214,6.8220284244304,45.7254678807897,14.0935908735095,9.10738364517432,116.596831707076,20.2559975230275
"Evi5",60.4076029729124,9.31900351842863,35.8234026403576,51.4904524442544,36.5578161953607,71.7230464497476,56.5505614073732,60.8747831159477
"Evi5l",58.2052102988521,115.636286580421,41.3109260741773,25.1684339292826,36.5411012774087,49.4299116030436,17.7019724575799,293.364513732208
"Evl",555.157193381835,61.8016729522689,344.335939280162,144.196600950785,92.077481663677,331.180861763694,543.615259344512,202.713948388737
"Evpl",179.211841650346,22.8122143311965,251.347059885136,55.8609794564747,33.5842979518633,197.789695073357,62.9628567812383,251.585855800139
"Exoc1",200.912462986765,280.608618189142,128.594190921341,105.214086563139,274.484840395514,182.446093511272,140.939229396708,258.427915009049
"Exoc2",144.361632918627,122.930226354246,143.667206295953,210.789366654842,107.007999083484,150.97410442731,189.244824103772,184.962011275828
