"gene_symbol","Interneurons_pr","Oligodendrocytes_pr","Medium.spiny.neurons_pr","Endothelial.cells_pr","Astrocytes_pr","Excitatory.neurons_pr","Microglia_pr","OPCs_pr"
"Hspa4",36565.9,22614.26,26687.43,29790.66,15823.41,31665.04,85871.72,20186.76
"Hspa4l",35718.55,21289.06,24990.89,14162.57,14187.59,30168.51,19745.31,15832.68
"Hspa5",37968.92,25616.28,22464.09,46786.3,20587.26,24648.03,88922.46,44088.15
"Hspa8",135495.9,105778,54705.87,99205.39,45817.38,64690.02,229721.9,79939.25
"Hspa9",31198.95,21577.63,17753.85,17915.04,15141.99,19966.2,46350.21,14649.64
"Hspb1",822.3057,239.6027,42.82208,63894.25,461.057,217.8982,3337.119,800.5615
"Hspb11",217.9565,207.9698,150.9306,360.2077,201.2174,218.129,630.6323,277.1046
"Hspbp1",1394.78,731.9369,843.1037,936.4601,267.8494,1014.248,1280.828,541.1082
"Hspd1",47224.14,50714.01,25748.63,58165.88,33812.37,29935.12,119278.5,41087.31
"Hspe1",12312.86,13109.59,6797.464,9024.37,8319.357,6972.386,32317.67,10208.38
"Hspg2",1616.489,9007.836,0.003546943,201862,3622.584,1083.302,0.01130781,31950.49
"Hsph1",23255.86,26883.84,26853.6,19540.94,7742.001,25919.92,35314.03,27096.06
"Htatip2",1643.468,720.6833,490.2819,2425.955,464.5396,2147.897,3083.183,948.5751
"Htatsf1",2359.032,3039.746,2205.076,1340.863,1507.278,2285.689,7500.547,2688.487
"Htra1",2426.133,8377.969,131.2168,3501.194,37758.33,454.9928,969.7143,8000.115
"Htra2",1036.008,765.0713,633.2389,622.3822,400.231,1160.692,7542.976,821.0492
"Htt",12326.78,8464.905,8927.241,4991.964,5115.92,10723.74,21238.34,8921.311
"Huwe1",12215.21,12283.51,9945.497,10821.91,6654.402,11224.12,29524.88,10343.16
"Hykk",483.1621,144.9655,116.7373,501.8513,313.8923,211.5841,526.3389,446.9601
"Hyou1",25875.75,13731.88,17277.85,16040.1,8603.202,19570.78,38666.01,20665.01
"Hypk",617.9471,518.1633,384.9978,643.6154,256.1048,549.78,1583.124,480.8054
"Iah1",2258.603,1952.257,2633.502,3018.118,369.7169,1801.22,11044.98,1732.412
"Iars2",11634.04,11926.52,7724.052,13711.64,8751.414,11775.96,43251.09,10417.55
"Iba57",2924.866,1496.322,2709.796,182.85,954.4895,2145.839,3914.679,1012.312
"Ica1",3835.981,313.9508,2824.426,1126.925,110.2152,3695.736,1091.396,2537.474
"Ica1l",218.3201,36.22779,290.552,25.23066,16.25627,227.2212,85.51013,93.38581
"Icam1",0.000192073,0.000103504,35.49921,7901.228,78.13783,24.29114,28991.8,359.8666
"Icam5",1859.624,1459.55,12415.31,2047.953,485.5855,12000.45,3559.342,1171.7
"Ice1",1294.847,791.3773,1228.687,452.0721,277.8713,1484.055,1714.64,620.4399
"Ide",10933.77,6668.484,5916.308,4995.306,5009.935,10568.65,13840.38,7618.424
"Idh1",8802.047,19474.8,6187.96,34888.9,35539.33,8185.169,66906.21,22527.71
"Idh2",19706.85,6404.971,8425.241,13921.21,28560.75,9806.879,44679.97,17422.46
"Idh3a",45692.94,15319.39,18489.36,20344.21,14814.67,27763.64,47130.3,25112.82
"Idh3b",31324.79,14009.48,17042.9,13121.16,15104.39,21264.97,41291.48,15849.32
"Idh3g",16098.71,10812.68,12633.28,8085.989,8125.367,15294.34,33028.46,10217.86
"Idi1",3006.101,3321.3,699.5545,2172.506,5911.872,3091.99,3097.289,1707.667
"Ids",759.0001,745.9209,492.3331,654.1205,363.1838,691.646,2024.802,553.0483
"Ifi203",9.456121e-05,5.095704e-05,21.90138,2626.838,35.26793,31.85605,2838.661,28.24715
"Ifi35",23.59718,37.3934,5.636518,784.0714,53.88934,27.82809,2234.981,35.82154
"Ifi47",0.006438231,783.9831,0.005246152,46523.92,712.2324,73.26145,27150.01,0.01966347
"Ifih1",1.142399,6.145699,1.108743,209.2535,33.08313,10.67704,851.3506,60.93064
"Ifit1",170.8365,9.181248,7.377196,962.7457,132.6351,18.04225,402.5182,469.0776
"Ifit3",1401.174,1490.788,353.7368,18554.57,5577.177,438.18,19390.31,9760.738
"Ifit3b",83.28952,166.0601,25.14837,694.0578,735.1922,37.49321,1149.328,1605.226
"Ifitm10",64.02726,12.77714,3.804429,32.68153,5.468919,15.9297,995.5046,40.26368
"Ifngr1",103.9501,145.538,107.7513,423.0721,190.1828,61.71865,6734.35,346.8151
"Ift122",558.2122,303.7609,476.2498,476.5196,429.1236,769.5487,579.0659,510.6157
"Ift140",308.2858,154.195,206.1198,77.59114,153.1376,327.0826,317.5119,254.3845
"Ift172",200.8871,65.80069,122.5639,65.12917,59.48908,193.5026,389.3744,111.1358
"Ift22",1813.83,1378.712,2098.318,2060.389,1084.554,2365.694,5088.092,977.5319
"Ift52",145.1241,110.3513,139.7254,86.42656,82.54607,132.582,398.9822,106.597
"Ift57",13.78845,10.48629,17.98121,7.293989,14.88,20.58954,16.82372,16.94625
"Ift74",412.9548,361.3313,456.7433,264.2798,320.7664,380.0868,1091.074,391.8415
"Ift81",197.3968,55.66868,108.0217,118.9139,113.377,180.5656,105.1045,91.7464
"Ift88",30.86373,16.03297,21.47775,11.48128,8.289018,37.00734,34.10635,15.46186
"Igbp1",867.6528,1740.256,811.5448,665.9889,608.531,921.5933,4402.756,1383.413
"Igdcc4",104.1849,4.975604,3.456683,38.61966,206.2432,63.8962,22.98001,65.28084
"Igf1r",390.6424,561.1101,340.4022,2156.999,343.5599,627.1318,1441.349,447.8691
"Igf2r",1053.87,504.3325,779.7266,1254.002,324.3649,901.5887,730.6759,764.6214
"Igfbp4",333.7421,60.23351,25.37778,393.0399,31.94675,125.1933,200.4528,90.33793
"Igfbp5",686.4671,409.4244,162.5589,7107.844,2547.251,674.2979,1198.525,334.5213
"Ighg2c",96.58031,598.0122,0.001143477,0.006098544,0.002441452,1207.906,1948.667,0.004285946
"Ighm",536.9711,461.2782,178.5183,692.5681,99.15129,1679.553,27619.29,0.00068342
"Iglon5",1330.851,127.1655,686.8003,329.3661,221.9028,1018.025,315.7722,670.0442
"Igsf1",359.4714,0.000189122,184.8282,357.5356,2584.36,383.7313,0.000911697,985.129
"Igsf11",362.0839,893.476,404.2398,74.7653,568.9322,126.1841,98.31843,195.4756
"Igsf21",897.9382,778.4759,940.8305,442.5846,1301.072,2629.903,1490.168,6805.139
"Igsf3",615.0856,75.85082,95.3656,152.1613,49.72174,130.4305,72.38716,20.20449
"Igsf8",12985.1,5394.395,5244.282,3856.666,2108.588,7496.899,8314.893,4970.268
"Igsf9b",274.8302,123.9385,391.2522,108.4305,31.31941,814.5792,222.6534,667.4475
"Igtp",24.69644,78.77841,6.039199,889.7512,321.5173,67.37193,3645.817,405.3302
"Ik",2552.526,2646.83,1552.513,2612.105,1475.66,1723.684,9767.054,1937.684
"Ikbkb",376.5235,564.8167,274.4295,443.4938,258.8373,444.4172,2685.615,454.8146
"Ikbkg",531.1825,623.1127,480.653,422.3257,311.9783,510.8859,2142.831,396.8926
"Il16",23.10965,8.657053,2.560504,64.92517,64.79564,20.57103,7797.746,31.67306
"Il1rap",1484.57,4592.088,297.2725,643.7153,188.0711,1581.246,837.0986,2366.889
"Il1rapl1",504.2487,172.4787,650.5231,102.0639,70.81803,555.6464,141.1754,746.9617
"Il33",21.77536,2084.837,7.598937,31.40107,155.5898,21.78989,119.8498,57.26817
"Il6st",591.0759,575.1511,236.1148,1663.13,536.6885,266.6771,7978.142,772.8618
"Ildr2",1010.321,444.2393,754.0503,3270.135,600.1379,2184.459,2650.872,386.9988
"Ilf2",5282.171,4268.136,3426.333,3669.698,1927.227,4313.496,6329.476,4249.66
"Ilf3",12472.56,8102.105,12104.18,6891.118,4598.336,11376.58,22784.31,13887.54
"Ilk",1868.458,5140.711,1226.353,7987.173,4142.88,1768.768,17528.52,3665.229
"Ilkap",1083.41,1305.543,784.1788,1044.79,665.9954,1084.534,3614.405,1334.593
"Ilvbl",2280.677,2853.251,752.9826,1651.909,1262.35,982.059,3811.374,1700.091
"Immt",13931.24,15882.58,8220.704,9913.025,7677.822,9770.353,35871.67,13448.79
"Impa1",8914.88,5261.277,7708.063,4041.096,4478.041,6972.92,18504.07,5656.421
"Impact",8398.473,4333.458,4350.27,3479.181,2782.017,5014.074,11373.68,3427.454
"Impdh1",2105.133,108.1999,696.3769,1167.208,69.08543,932.7445,197.3558,621.4946
"Impdh2",3103.596,2693.274,1921.257,6139.514,1559.745,2906.912,6576.635,3024.173
"Ina",26900.66,6173.514,14921.04,6432.946,3000.18,27210.88,18251.88,4951.257
"Inf2",331.0328,6844.946,9563.007,2312.492,1507.298,2238.32,2448.875,1306.336
"Inip",82.32806,61.78186,84.46232,83.5732,55.9846,86.72719,451.8488,127.6126
"Ino80",199.6107,171.1901,167.6141,124.8109,94.36282,195.2723,462.198,137.1514
"Inpp1",8528.566,3092.01,4473.605,5406.254,5874.12,6793.728,8373.011,8546.293
"Inpp4a",6627.484,1351.581,8858.688,4751.102,1316.472,9496.656,12145.73,4348.058
"Inpp4b",566.6173,40.11879,194.3461,469.8549,102.3748,485.7185,4597.897,1221.301
"Inpp5a",7107.071,10489.55,7037.939,5954.822,3139.979,6164.318,11126.83,3253.937
"Inpp5b",748.5835,651.0475,239.4922,257.4909,328.4195,520.0276,913.8728,773.0589
"Inpp5d",2.522749,7.738023,5.226021,72.06149,2.948028,4.644518,7050.935,13.23018
"Inpp5e",662.0857,293.9176,377.4434,365.7287,191.9298,503.2484,1363.19,342.6345
"Inpp5f",3411.908,6617.597,2693.521,1532.895,846.9664,1329.738,2955.3,1278.03
"Inpp5j",6183.306,4649.421,2656.097,394.5174,155.1041,1986.684,253.6613,427.6456
"Inpp5k",516.0993,490.9457,350.1081,300.1288,165.0742,541.187,1732.96,349.7015
"Insr",1259.543,1799.694,1193.213,1716.652,931.0176,1198.835,4990.07,1553.978
"Ints1",178.8462,94.55051,126.3709,147.5272,79.77229,177.9776,237.2527,127.0806
"Ints10",35.86366,15.5988,33.27127,6.991051,10.96002,43.10428,36.54515,22.80107
"Ints14",275.9738,252.1758,169.9539,191.346,173.5514,220.6082,832.0084,577.0051
"Ints3",143.6362,157.0919,95.36181,68.7992,57.9695,134.8225,273.8669,109.7774
"Ints4",29.82542,86.20711,31.56713,21.07303,26.01637,23.58324,78.83023,66.75181
"Ints7",87.33334,155.1201,178.3347,56.89625,26.39751,186.9467,208.8358,61.19246
"Ints8",32.5445,34.47546,28.4258,23.74244,16.93141,30.41207,89.0965,39.18965
"Ints9",331.4804,392.1092,258.5859,386.8538,141.1705,303.7951,700.9185,340.4619
"Ip6k1",1043.469,719.285,863.0073,574.1435,609.2707,911.664,2162.198,717.5751
"Ipcef1",492.0081,398.6192,259.0147,543.4481,244.4097,2567.526,3875.159,205.1445
"Ipo11",418.0205,191.4424,301.2195,145.8932,109.084,398.6365,707.0274,203.7608
"Ipo13",45.01849,79.82685,32.35244,34.57392,19.31994,43.35637,53.45138,31.42388
"Ipo4",5260.844,2349.276,4128.534,1519.055,1761.525,5980.522,4856.84,4008.213
"Ipo5",13405.56,14794.61,5899.266,6709.733,5316.165,14738.1,28889.89,13748.56
"Ipo7",6414.564,4701.753,3999.28,4485.677,2704.403,5182.574,15024.53,4711.108
"Ipo8",89.50648,92.15307,59.24507,88.08401,40.58666,78.10374,214.5788,60.37806
"Ipo9",4936.646,2830.527,2235.055,1670.965,1304.184,4012.625,9662.602,2754.01
"Iqcb1",2500.463,1705.848,1323.073,1637.283,800.8146,1858.004,3659.823,1730.49
"Iqgap1",5567.686,5491.929,3377.974,11788.88,2824.985,8773.502,7057.442,4652.648
"Iqgap2",2929.407,257.3541,1181.093,651.9014,117.8425,1402.551,1157.414,754.1267
"Iqsec1",5710.811,2270.95,3432.289,1649.153,1313.687,5011.178,3414.868,704.7072
"Iqsec2",3108.448,1093.554,4836.369,2297.07,1898.42,6782.904,7737.035,2985.176
