"gene_symbol","Interneurons_py","Oligodendrocytes_py","Medium.spiny.neurons_py","Endothelial.cells_py","Astrocytes_py","Excitatory.neurons_py","Microglia_py","OPCs_py"
"Hepacam",2.38341179845743,154.063163959718,1.54427477284349,10.4589895930234,156.802373479697,2.54160015142289,5.90885563756145,90.5463405135465
"Herpud1",91.672744767896,68.8991747907097,38.2593182396093,152.801997043867,94.2280828938567,57.7414135008645,100.70139904873,99.4958946162953
"Hgs",35.8055533043387,48.16069316,26.2810221850918,0.000161898,8.527882601502,24.8104763937852,42.0316473921441,21.9749394546547
"Hipk1",43.4852282183625,43.0312137277882,39.2855332394432,111.468454563828,38.1273040143171,38.980780118117,58.9532131252372,28.9885530546362
"Hist1h2bp",159.938749545077,86.1876082539476,130.325090449622,695.067149064649,278.258741910785,28.4717726191356,415.482231072268,488.480573281159
"Hk1",25.1835488951359,12.6810592350178,20.0874773712201,18.3217812864823,24.5725857411689,29.6405987295514,17.3352448976305,13.9506335587339
"Hnrnpd",28.7468745929775,31.8342940454148,39.7503641304215,29.7979312310299,21.1018706562162,28.00412447,36.73255287,32.4742647305165
"Hsp90aa1",56.539445121755,90.0292460624439,33.5625367173729,54.4030710920696,36.3215950741906,39.0434729137786,57.6846506964213,45.5605213846652
"Hsp90ab1",93.0969689819324,142.865004142202,72.9787036519048,118.707693079669,72.4339415883096,62.80659156376,92.77315234,90.4378093900467
"Hspa12a",60.9682141845442,21.0558146587005,54.8845430843996,98.4233404265954,17.6260882557995,83.3440802056264,34.8540116987017,19.2009291434351
"Hspa4",177.297197291764,124.686670921816,164.746474777885,148.910054033603,128.391515688235,159.80363760161,194.722123342046,108.150631754049
"Hspa8",193.90018271823,167.521615568339,103.186329424063,171.00961581731,111.585649868384,107.194384678329,141.957757891079,137.1288334393
"Idh1",64.1667743410434,181.208740638596,51.1809786339839,240.923239131335,438.184969668625,53.9650617192026,202.148829786774,200.149192454437
"Ildr2",75.6544400156794,34.45111108,67.283260722974,347.459074764691,57.0327593727022,162.133325398852,47.2939137900435,24.9930629621461
"Immt",49.7585728710426,67.1214502657042,40.2733359252168,51.1173880000065,50.8590461911987,39.1082491771147,60.6975171653167,52.9551948704635
"Ina",40.9320456536865,11.1664894187968,35.0224121310195,14.903324399602,9.41909487669714,43.335342235092,16.0717311994193,11.8290051481957
