"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"2478",2.91864257363309e-124,0.490124699126254,0.665,0.484,6.15220668096118e-120,"Astrocytes_WT","Laptm4a"
"2479",3.35580932070617e-124,0.48117223522254,0.658,0.47,7.07371046711653e-120,"Astrocytes_WT","Cdh2"
"2480",3.81673255688648e-124,0.48217686216223,0.324,0.122,8.04529055666101e-120,"Astrocytes_WT","Ppargc1a"
"2481",6.35921118567655e-124,0.520685167521123,0.406,0.176,1.34045812582876e-119,"Astrocytes_WT","Elovl5"
"2482",8.65128022870611e-124,0.45552849140467,0.274,0.089,1.82360335940896e-119,"Astrocytes_WT","Cables1"
"2483",1.23923856073995e-123,0.365420755828571,0.249,0.067,2.61219096218373e-119,"Astrocytes_WT","Pmp22"
"2484",7.58132864111273e-123,0.291751862252281,0.158,0.032,1.59806826426015e-118,"Astrocytes_WT","Tmem176a"
"2485",7.93319401379949e-123,0.527819021538386,0.455,0.208,1.6722379661688e-118,"Astrocytes_WT","Wls"
"2486",1.59849314951659e-122,0.515101793723835,0.384,0.164,3.36946370986602e-118,"Astrocytes_WT","Fam228b"
"2487",2.85734902516998e-122,0.306675249731579,0.163,0.035,6.0230060101558e-118,"Astrocytes_WT","Msi1"
"2488",3.42942398100547e-122,0.429052364444364,0.264,0.084,7.22888280956143e-118,"Astrocytes_WT","Vav3"
"2489",7.9056438838007e-122,0.266544415429121,0.138,0.025,1.66643067426635e-117,"Astrocytes_WT","Maml2"
"2490",5.23997094512746e-120,0.54589945732589,0.47,0.252,1.10453347552342e-115,"Astrocytes_WT","Fads1"
"2491",9.54716591202215e-119,0.417000685010669,0.259,0.081,2.01244710259515e-114,"Astrocytes_WT","Nadk2"
"2492",1.74436583930355e-118,0.439284539661213,0.789,0.589,3.67694875266795e-114,"Astrocytes_WT","Scd2"
"2493",4.24351066927582e-116,0.521559668371969,0.396,0.184,8.9448961397665e-112,"Astrocytes_WT","Adk"
"2494",4.98541164073632e-116,0.439771507838776,0.269,0.09,1.05087491975081e-111,"Astrocytes_WT","Pou3f2"
"2495",1.02116897178076e-115,0.537411253530448,0.435,0.225,2.15252207561667e-111,"Astrocytes_WT","Mfap3l"
"2496",8.20781534419444e-115,0.359297739048303,0.202,0.054,1.73012539640275e-110,"Astrocytes_WT","Naaa"
"2497",1.17824118546498e-114,0.307988428792576,0.181,0.042,2.48361459484163e-110,"Astrocytes_WT","Gsap"
"2498",2.77890084691178e-114,0.390593919614344,0.234,0.069,5.85764509520534e-110,"Astrocytes_WT","Gpr146"
"2499",9.07531272873716e-114,0.361049403626386,0.205,0.056,1.91298517009051e-109,"Astrocytes_WT","Nedd9"
"2500",1.10575836411781e-113,0.251331304029041,0.137,0.026,2.33082805572392e-109,"Astrocytes_WT","Npepl1"
"2501",9.16046420520476e-113,0.523100357141554,0.392,0.185,1.93093424981511e-108,"Astrocytes_WT","Bcl2"
"2502",3.35759926567498e-107,0.333860031373888,0.195,0.052,7.07748349211628e-103,"Astrocytes_WT","Klf15"
"2503",3.97894575712154e-107,0.407812422482535,0.711,0.56,8.3872197614365e-103,"Astrocytes_WT","Pbx1"
"2504",2.03056754652384e-106,0.272664658999856,0.152,0.033,4.2802333313176e-102,"Astrocytes_WT","S100a1"
"2505",3.95128342396664e-105,0.55150622780798,0.412,0.213,8.32891032937928e-101,"Astrocytes_WT","Usp53"
"2506",1.34604204672367e-104,0.427916838096615,0.279,0.102,2.83732203028882e-100,"Astrocytes_WT","Slitrk2"
"2507",3.09793043465354e-102,0.280332744214452,0.148,0.034,6.5301275632062e-98,"Astrocytes_WT","Gcnt4"
"2508",4.58869950541712e-102,0.359659302285713,0.26,0.083,9.67251968746875e-98,"Astrocytes_WT","Tmem229a"
"2509",2.75212543668817e-101,0.460990800717759,0.309,0.127,5.801205207995e-97,"Astrocytes_WT","Tnfrsf19"
"2510",2.85479228175351e-101,0.251531594259825,0.13,0.026,6.01761665070823e-97,"Astrocytes_WT","Gas1"
"2511",8.78712302515097e-101,0.392223429992511,0.706,0.572,1.85223766247157e-96,"Astrocytes_WT","Trim9"
"2512",3.05448925979888e-100,0.282776240383409,0.152,0.035,6.43855791073007e-96,"Astrocytes_WT","Pld2"
"2513",5.86811743158466e-100,0.495626753493693,0.401,0.204,1.23694047340373e-95,"Astrocytes_WT","Garem1"
"2514",3.73650719940109e-98,0.436111350221179,0.294,0.115,7.87618352561755e-94,"Astrocytes_WT","Pantr1"
"2515",2.90684247351919e-97,0.473106804537987,0.338,0.149,6.1273332499311e-93,"Astrocytes_WT","Ptch1"
"2516",4.68824677910394e-95,0.325380479968761,0.859,0.701,9.88235538567319e-91,"Astrocytes_WT","Tcf4"
"2517",6.77379598453844e-95,0.470974692975142,0.455,0.252,1.42784845558086e-90,"Astrocytes_WT","Eps15"
"2518",7.64148581509709e-95,0.471004798475775,0.453,0.236,1.61074879496432e-90,"Astrocytes_WT","Igsf11"
"2519",1.33786519290533e-94,0.423927444910948,0.295,0.118,2.82008604012515e-90,"Astrocytes_WT","Abcd2"
"2520",2.6242668341004e-94,0.258796865784034,0.148,0.034,5.53169205960024e-90,"Astrocytes_WT","Acadl"
"2521",1.28408944962716e-93,0.336121087360422,0.219,0.067,2.70673215086908e-89,"Astrocytes_WT","Cyp4f13"
"2522",2.90931231197563e-93,0.437527467840552,0.628,0.397,6.13253942241343e-89,"Astrocytes_WT","Nfib"
"2523",2.99843395008063e-93,0.4682688667238,0.541,0.364,6.32039892337495e-89,"Astrocytes_WT","Fam13c"
"2524",5.44738649952734e-92,0.332595423740505,0.214,0.065,1.14825460023537e-87,"Astrocytes_WT","Rin2"
"2525",1.2742883086878e-91,0.329643131624036,0.807,0.68,2.68607232588301e-87,"Astrocytes_WT","Ntrk2"
"2526",2.9107298636024e-91,0.482890332558536,0.397,0.203,6.1355274794875e-87,"Astrocytes_WT","Insig1"
"2527",3.81864119958971e-91,0.329756345189519,0.227,0.07,8.04931378461515e-87,"Astrocytes_WT","Bmp2k"
"2528",1.98148390504963e-89,0.456474030334745,0.55,0.393,4.17676992345412e-85,"Astrocytes_WT","Lrrc58"
